"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@ChrisVanVliet @ShamrockKen Great interview, Chris! Watched the whole thing and now I’m late for the gym <U+0001F602><U+0001F4AA><U+0001F3FE>.… https://t.co/uJhlp3DH32",FALSE,493,"ChrisVanVliet",2019-09-12 17:01:07,TRUE,"1172130455610691584","1172193433626136576","21343127","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",49,FALSE,FALSE,NA,NA
"You guys should take a min out of your day to read this. Her outlook on the ideology of being successful is very ch… https://t.co/0sEAWWmFEl",FALSE,3836,NA,2019-09-10 15:33:03,TRUE,NA,"1171446496559939585",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",351,FALSE,FALSE,NA,NA
"RT @SevenBucksCR: .@TheRock &amp; @DanyGarciaCo present @AthleticonATL OCT 9-11, 2020 in Atlanta. Join us in celebrating movement, enriching ou…",FALSE,0,NA,2019-09-10 13:25:35,FALSE,NA,"1171414415356284931",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRock",117,TRUE,FALSE,NA,NA
"RT @DanyGarciaCo: Shhh, it’s a secret.
@TheRock and I have a very, very special announcement to share tomorrow morning.
A BIG something we'…",FALSE,0,NA,2019-09-10 13:24:44,FALSE,NA,"1171414201740349440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRock",115,TRUE,FALSE,NA,NA
"RT @athleticonatl: .@TheRock &amp; @DanyGarciaCo present #ATHLETICON: An experience at the intersection of athletics, wellness and entertainmen…",FALSE,0,NA,2019-09-10 13:24:34,FALSE,NA,"1171414159231053824",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRock",106,TRUE,FALSE,NA,NA
"Imagine if all your fitness goals had a baby w/ the most entertaining LIVE event. 
Welcome to #ATHLETICON! Join… https://t.co/x2xr5EN3yy",FALSE,2808,NA,2019-09-10 13:00:01,TRUE,NA,"1171407982216667136",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","TheRock",289,FALSE,FALSE,NA,NA
"@steveaustinBSR @TheGarden @WWE @3lone @AJStylesOrg Yeah AJ - YOU HEAR HIM TALKIN TO YOU HILLBILLY BOY!!!! (lil’ in… https://t.co/nlpB9H79m4",FALSE,9959,"steveaustinBSR",2019-09-10 04:54:24,TRUE,"1171250688652976129","1171285775079469056","112915037","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",1045,FALSE,FALSE,NA,NA
"Check out THE CHAMP!! Already way cooler than me and @WWERomanReigns <U+0001F4AA><U+0001F3FE><U+0001F44A><U+0001F3FE>
My super strong buddy, Alfredo is fightin… https://t.co/TMNgywsPlz",FALSE,4473,NA,2019-09-10 02:25:02,TRUE,NA,"1171248183436931073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",601,FALSE,FALSE,NA,NA
"RT @BarryKeoghan: My time meeting @TheRock @MTVNEWS <U+2764><U+FE0F><U+0001F43A> https://t.co/PYQKMJhtaV",FALSE,0,NA,2019-09-09 22:30:37,FALSE,NA,"1171189189313908736",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheRock",72,TRUE,FALSE,NA,NA
"Tomorrow @danygarciaco and I are droppin’ a cool announcement.
If you’re down to disrupt your perceived limits and… https://t.co/ztAbegJDMx",FALSE,2713,NA,2019-09-09 22:18:56,TRUE,NA,"1171186253070356480",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TheRock",211,FALSE,FALSE,NA,NA
